,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,khatanga,100,RU,1564852377,83,71.98,102.47,60.06,5.64
1,quatre cocos,40,MU,1564852161,64,-20.21,57.76,71.6,10.29
2,ekhabi,0,RU,1564852161,90,53.51,142.97,55.38,12.46
3,belaya gora,0,RU,1564852161,65,68.54,146.19,44.94,8.1
4,dixon,1,US,1564852162,44,38.45,-121.82,84.99,2.71
5,qaanaaq,26,GL,1564852378,58,77.48,-69.36,45.12,0.98
6,vila velha,75,BR,1564852162,55,-3.71,-38.6,86.0,11.41
7,hobart,75,AU,1564852086,89,-42.88,147.33,42.8,4.7
8,ushuaia,75,AR,1564852378,70,-54.81,-68.31,48.2,31.09
9,thompson,75,CA,1564852094,68,55.74,-97.86,69.8,5.82
10,saint george,20,GR,1564852378,24,39.45,22.34,96.8,17.22
11,souillac,20,FR,1564852163,29,45.6,-0.6,91.0,2.24
12,areal,90,BR,1564852163,82,-22.23,-43.11,66.2,11.41
13,atuona,67,PF,1564852379,68,-9.8,-139.03,79.86,18.45
14,pisco,90,PE,1564852379,30,-13.71,-76.2,71.6,4.7
15,belomorsk,100,RU,1564852163,81,64.52,34.76,45.12,10.31
16,pocone,42,BR,1564852164,22,-16.26,-56.62,76.26,9.6
17,shizunai,100,JP,1564852164,82,42.33,142.37,66.72,7.2
18,rikitea,67,PF,1564852380,81,-23.12,-134.97,71.22,17.72
19,kapaa,75,US,1564852380,74,22.08,-159.32,82.4,14.99
20,dobrinka,58,RU,1564852164,79,52.17,40.48,56.64,6.62
21,kaitangata,69,NZ,1564852380,82,-46.28,169.85,35.01,11.99
22,beisfjord,0,NO,1564852165,59,68.38,17.6,62.6,9.17
23,anadyr,20,RU,1564852165,72,64.73,177.51,35.6,4.47
24,bredasdorp,1,ZA,1564852275,77,-34.53,20.04,59.0,3.36
25,halkirk,86,CA,1564852165,76,52.28,-112.15,66.0,7.0
26,hasaki,20,JP,1564852381,100,35.73,140.83,78.8,3.36
27,sarangarh,83,IN,1564852166,86,21.6,83.08,77.16,11.9
28,kawalu,52,ID,1564852166,94,-7.38,108.21,64.02,4.03
29,dingle,100,PH,1564852382,93,11.0,122.67,73.38,7.9
30,abu samrah,0,SY,1564852382,54,35.3,37.18,76.8,11.39
31,barrow,0,AR,1564852382,34,-38.31,-60.23,59.16,7.02
32,goderich,1,CA,1564852383,62,43.74,-81.71,79.0,7.0
33,lata,60,IN,1564852383,95,30.78,78.62,44.76,0.63
34,marawi,100,PH,1564852167,84,8.0,124.29,78.01,4.81
35,busselton,43,AU,1564852384,72,-33.64,115.35,57.0,13.04
36,bonthe,100,SL,1564852167,87,7.53,-12.5,76.26,10.49
37,lisakovsk,100,KZ,1564852167,74,52.55,62.49,58.8,10.09
38,vaini,100,IN,1564852384,91,15.34,74.49,77.34,6.89
39,san quintin,98,PH,1564852168,95,17.54,120.52,73.38,3.0
40,puerto ayora,75,EC,1564852385,78,-0.74,-90.35,71.6,10.29
41,sampit,2,ID,1564852168,91,-2.54,112.95,71.22,1.97
42,singaraja,21,ID,1564852168,64,-8.11,115.08,77.34,6.98
43,poum,20,MK,1564852385,47,41.28,20.71,78.8,4.7
44,cape town,20,ZA,1564852386,72,-33.93,18.42,60.01,1.12
45,lorengau,99,PG,1564852386,84,-2.02,147.27,79.14,9.44
46,takapau,100,NZ,1564852169,90,-40.02,176.35,48.0,8.01
47,albany,75,US,1564852283,54,42.65,-73.75,84.99,3.36
48,kenai,1,US,1564852169,77,60.55,-151.26,68.0,10.29
49,castro,90,CL,1564852386,100,-42.48,-73.76,46.4,9.17
50,lakes entrance,66,AU,1564852170,87,-37.88,147.99,48.99,5.55
51,iqaluit,75,CA,1564852387,81,63.75,-68.52,50.0,2.24
52,yellowknife,40,CA,1564852387,67,62.45,-114.38,62.6,10.29
53,georgetown,75,GY,1564852190,79,6.8,-58.16,86.0,4.7
54,bahia de caraquez,75,EC,1564852171,74,-0.6,-80.42,78.8,8.05
55,karasjok,96,NO,1564852171,71,69.47,25.52,51.8,11.41
56,mitsamiouli,20,KM,1564852171,78,-11.38,43.28,78.8,6.93
57,noumea,0,NC,1564852171,87,-22.28,166.46,55.4,4.7
58,jamestown,100,AU,1564852388,82,-33.21,138.6,44.4,8.84
59,eureka,90,US,1564852172,82,40.8,-124.16,68.0,5.82
60,huarmey,99,PE,1564852172,87,-10.07,-78.15,60.6,11.43
61,atar,0,MR,1564852172,8,20.52,-13.05,111.54,13.73
62,canyon lake,1,US,1564852172,82,33.68,-117.26,90.0,3.47
63,mataura,100,NZ,1564852389,83,-46.19,168.86,36.84,10.4
64,gravatai,20,BR,1564852173,41,-29.94,-50.99,61.0,17.22
65,saskylakh,0,RU,1564852389,76,71.97,114.09,47.82,1.92
66,cockburn town,13,TC,1564852173,78,21.46,-71.14,83.46,18.12
67,kununurra,100,AU,1564852173,72,-15.77,128.74,59.0,3.36
68,port alfred,0,ZA,1564852390,91,-33.59,26.89,57.99,1.01
69,excelsior springs,20,US,1564852174,51,39.34,-94.23,86.0,8.05
70,tabou,100,CI,1564852390,84,4.42,-7.36,73.74,4.27
71,karpathos,20,GR,1564851962,69,35.51,27.21,82.4,18.34
72,constantine,40,DZ,1564851909,38,36.36,6.61,91.4,17.22
73,arlit,96,NE,1564852174,40,18.74,7.39,90.66,29.33
74,punta arenas,20,CL,1564852391,70,-53.16,-70.91,44.01,27.51
75,faya,20,SA,1564852391,78,18.39,42.45,75.2,4.7
76,rocha,27,UY,1564852391,61,-34.48,-54.34,49.8,14.9
77,okhotsk,94,RU,1564852175,94,59.36,143.24,54.48,19.64
78,butaritari,99,KI,1564852391,70,3.07,172.79,84.54,8.57
79,rundu,35,NA,1564852175,14,-17.91,19.77,84.2,3.36
80,yar-sale,83,RU,1564852392,80,66.83,70.83,57.9,13.51
81,chebenki,40,RU,1564852176,67,51.93,55.71,59.0,4.47
82,yinchuan,60,CN,1564852176,64,38.48,106.21,66.0,3.58
83,nagornskiy,100,RU,1564852176,100,58.77,57.55,48.99,1.99
84,new norfolk,75,AU,1564852392,89,-42.78,147.06,42.8,4.7
85,chaihe,100,CN,1564852177,99,44.77,129.68,62.4,0.87
86,harper,1,US,1564852177,52,30.3,-99.24,91.4,4.7
87,sechura,3,PE,1564852177,94,-5.56,-80.82,61.5,15.59
88,codrington,90,AU,1564852393,100,-28.95,153.24,50.0,3.15
89,pishin,57,PK,1564852178,54,30.58,67.0,78.6,8.84
90,ilulissat,40,GL,1564852393,81,69.22,-51.1,42.8,4.7
91,hamilton,20,CA,1564852218,53,43.26,-79.87,84.99,2.24
92,bathsheba,40,BB,1564852394,70,13.22,-59.52,86.0,19.46
93,chokurdakh,0,RU,1564852394,88,70.62,147.9,34.32,11.7
94,upernavik,29,GL,1564852394,80,72.79,-56.15,44.94,3.69
95,baripada,100,IN,1564852179,87,21.93,86.73,77.7,7.11
96,nizwa,83,OM,1564852179,26,22.93,57.53,95.34,0.92
97,abu kamal,0,SY,1564852179,21,34.45,40.92,92.28,14.74
98,flinders,40,AU,1564852180,75,-34.58,150.85,51.01,11.41
99,waitati,47,NZ,1564852180,70,-45.75,170.57,39.0,23.0
100,sept-iles,75,CA,1564852180,82,50.2,-66.38,60.8,6.93
101,culpeper,90,US,1564852180,48,38.47,-78.0,89.01,4.7
102,biak,100,ID,1564852181,96,-0.91,122.88,56.82,5.21
